Mat,Ind,Ipa,Ing,Rata,Jumlah,JURUSAN
75,96,68,75,78.50,314.00,MULTIMEDIA
95,94,80,72.5,85.38,341.50,MULTIMEDIA
85,80,62,82.5,77.38,309.50,MULTIMEDIA
95,94,98,95,95.50,382.00,MULTIMEDIA
97.5,80,56,75,77.13,308.50,MULTIMEDIA
92.5,84,86,65,81.88,327.50,MULTIMEDIA
72.5,90,60,60,70.63,282.50,MULTIMEDIA
52.5,88,64,77.5,70.50,282.00,MULTIMEDIA
70,88,54,70,70.50,282.00,MULTIMEDIA
52.5,88,96,52.5,72.25,289.00,MULTIMEDIA
50,90,84,67.5,72.88,291.50,MULTIMEDIA
82.5,96,68,90,84.13,336.50,MULTIMEDIA
97.5,94,62,60,78.38,313.50,MULTIMEDIA
77.5,94,64,85,80.13,320.50,MULTIMEDIA
75,84,90,82.5,82.88,331.50,MULTIMEDIA
75,80,76,52.5,70.88,283.50,MULTIMEDIA
52.5,92,74,70,72.13,288.50,MULTIMEDIA
60,80,94,55,72.25,289.00,MULTIMEDIA
97.5,90,68,87.5,85.75,343.00,MULTIMEDIA
77.5,84,64,82.5,77.00,308.00,MULTIMEDIA
70,72,62,70,68.50,274.00,MULTIMEDIA
62.5,88,60,80,72.63,290.50,MULTIMEDIA
72.5,72,74,70,72.13,288.50,MULTIMEDIA
87.5,90,76,80,83.38,333.50,MULTIMEDIA
80,98,80,77.5,83.88,335.50,MULTIMEDIA
62.5,96,72,77.5,77.00,308.00,MULTIMEDIA
67.5,82,78,57.5,71.25,285.00,MULTIMEDIA
72.5,88,98,77.5,84.00,336.00,MULTIMEDIA
72.5,90,70,77.5,77.50,310.00,MULTIMEDIA
67.5,86,70,72.5,74.00,296.00,MULTIMEDIA
67.5,90,82,75,78.63,314.50,MULTIMEDIA
97.5,88,74,92.5,88.00,352.00,MULTIMEDIA
80,94,92,82.5,87.13,348.50,MULTIMEDIA
70,76,80,67.5,73.38,293.50,MULTIMEDIA
70,86,74,80,77.50,310.00,MULTIMEDIA
